Generation,Individual,Fitness,Density,Avg_Neighbors
11,39,5953,0.492,3.936
11,40,6271,0.4704,3.7632
11,41,5799,0.4936,3.9488
11,42,5933,0.486,3.888
11,43,5926,0.4936,3.9488
11,44,5964,0.4924,3.9392
11,45,6432,0.4704,3.7632
11,46,6223,0.4784,3.8272
11,47,6091,0.484,3.872
11,48,6086,0.4876,3.9008
11,49,5893,0.4884,3.9072
12,0,6144,0.4904,3.9232
12,1,5983,0.488,3.904
12,2,5283,0.4944,3.9552
12,3,6180,0.4844,3.8752
12,4,6097,0.5,4.0
12,5,6424,0.4888,3.9104
12,6,6087,0.4808,3.8464
12,7,6105,0.482,3.856
12,8,6140,0.4804,3.8432
12,9,6504,0.4736,3.7888
12,10,6031,0.4944,3.9552
12,11,5943,0.4752,3.8016
12,12,5589,0.4992,3.9936
12,13,6428,0.476,3.808
12,14,5456,0.504,4.032
12,15,6015,0.4888,3.9104
12,16,6100,0.4872,3.8976
12,17,5986,0.484,3.872
12,18,6346,0.4844,3.8752
12,19,5839,0.4832,3.8656
12,20,6478,0.4852,3.8816
12,21,5840,0.4952,3.9616
12,22,5660,0.4752,3.8016
12,23,6362,0.4784,3.8272
12,24,5580,0.4824,3.8592
12,25,6304,0.4868,3.8944
12,26,5893,0.496,3.968
12,27,5662,0.5012,4.0096
12,28,5505,0.4916,3.9328
12,29,5862,0.4932,3.9456
12,30,6391,0.494,3.952
12,31,5948,0.4904,3.9232
12,32,6229,0.4924,3.9392
12,33,5395,0.4912,3.9296
12,34,6545,0.4776,3.8208
12,35,5757,0.4984,3.9872
12,36,5595,0.4992,3.9936
12,37,5993,0.5028,4.0224
12,38,6203,0.4864,3.8912
12,39,6727,0.4736,3.7888
12,40,6591,0.4856,3.8848
12,41,6087,0.4884,3.9072
12,42,5874,0.4784,3.8272
12,43,5947,0.4704,3.7632
12,44,6233,0.4916,3.9328
12,45,5935,0.48,3.84
12,46,6082,0.466,3.728
12,47,5744,0.49,3.92
12,48,5778,0.4984,3.9872
12,49,6210,0.4932,3.9456
13,0,6295,0.4944,3.9552
